2025-05-21T10:40:57.341972+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] Starting MariaDB 10.11.11-MariaDB-0ubuntu0.24.04.2 source revision e69f8cae1a15e15b9e4f5e0f8497e1f17bdc81a4 server_uid 6Qu6E5b5EeKRiAmj9JaShR9+IZ4= as process 15721
2025-05-21T10:40:57.373040+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-05-21T10:40:57.375394+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Number of transaction pools: 1
2025-05-21T10:40:57.375518+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2025-05-21T10:40:57.375994+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Using liburing
2025-05-21T10:40:57.376329+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Initializing buffer pool, total size = 128.000MiB, chunk size = 2.000MiB
2025-05-21T10:40:57.378104+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Initialized memory pressure event listener
2025-05-21T10:40:57.378220+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Completed initialization of buffer pool
2025-05-21T10:40:57.378927+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)
2025-05-21T10:40:57.395850+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: End of log at LSN=46980
2025-05-21T10:40:57.411034+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: 128 rollback segments are active.
2025-05-21T10:40:57.411430+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...
2025-05-21T10:40:57.411534+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.
2025-05-21T10:40:57.412988+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: log sequence number 46980; transaction id 14
2025-05-21T10:40:57.413174+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] Plugin 'FEEDBACK' is disabled.
2025-05-21T10:40:57.414232+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool
2025-05-21T10:40:57.416943+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Warning] You need to use --log-bin to make --expire-logs-days or --binlog-expire-logs-seconds work.
2025-05-21T10:40:57.418844+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] InnoDB: Buffer pool(s) load completed at 250521 10:40:57
2025-05-21T10:40:57.418983+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] Server socket created on IP: '127.0.0.1'.
2025-05-21T10:40:57.438539+00:00 lia-server mariadbd[15721]: 2025-05-21 10:40:57 0 [Note] /usr/sbin/mariadbd: ready for connections.
2025-05-21T10:40:57.438633+00:00 lia-server mariadbd[15721]: Version: '10.11.11-MariaDB-0ubuntu0.24.04.2'  socket: '/run/mysqld/mysqld.sock'  port: 3306  Ubuntu 24.04
2025-05-21T11:05:09.563538+00:00 lia-server mariadbd[15721]: 2025-05-21 11:05:09 43 [Warning] Access denied for user 'zabbix'@'localhost' (using password: YES)
2025-05-21T11:31:12.037164+00:00 lia-server mariadbd[15721]: 2025-05-21 11:31:12 46 [Warning] Access denied for user 'zabbix'@'localhost' (using password: YES)
2025-05-21T11:34:55.066445+00:00 lia-server mariadbd[15721]: 2025-05-21 11:34:55 48 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:05.070798+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:05 49 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:15.864287+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:15 50 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:26.571019+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:26 51 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:36.589200+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:36 52 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:46.617457+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:46 53 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:35:56.620653+00:00 lia-server mariadbd[15721]: 2025-05-21 11:35:56 54 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:36:13.190742+00:00 lia-server mariadbd[15721]: 2025-05-21 11:36:13 55 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:36:23.411995+00:00 lia-server mariadbd[15721]: 2025-05-21 11:36:23 56 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:36:35.430819+00:00 lia-server mariadbd[15721]: 2025-05-21 11:36:35 57 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:36:45.474670+00:00 lia-server mariadbd[15721]: 2025-05-21 11:36:45 58 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:36:56.375439+00:00 lia-server mariadbd[15721]: 2025-05-21 11:36:56 59 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:06.466638+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:06 60 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:16.470943+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:16 61 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:26.473750+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:26 62 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:36.478199+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:36 63 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:46.505461+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:46 64 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:37:56.510060+00:00 lia-server mariadbd[15721]: 2025-05-21 11:37:56 65 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:06.511109+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:06 66 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:16.515706+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:16 67 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:26.526193+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:26 68 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:36.528722+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:36 69 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:46.531868+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:46 70 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:38:56.539802+00:00 lia-server mariadbd[15721]: 2025-05-21 11:38:56 71 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:39:06.615284+00:00 lia-server mariadbd[15721]: 2025-05-21 11:39:06 72 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
